id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
28,1908,Gift of the Scots of San Francisco,8' H atop an 8' granite base,"37.76904,-122.4835193",Public Display,District 1,Golden Gate Park,"JFK, near 7th avenue",San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Robert Burns (1759-1796)
29,1908,Gift of a committee of citizens headed by Congressman O'Connor,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Schmid, Rupert",General Ulysses Simpson Grant (1822-1885)
30,1908,Gift of Suzanna Brown,Two 4' L sculptures on 9' H granite boulder,"37.7734009,-122.4658805",Public Display,District 1,Golden Gate Park,Fulton at 8th Ave.,San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Bear and Lion
31,1909,,,"37.7705254,-122.4818391",Public Display,District 1,Golden Gate Park,Lloyd Lake,San Francisco Arts Commission,"marble, concrete",marble and cast concrete,"Brown, Arthur Page",Portals of the Past
32,1910,Commissioned and placed in 1910 by the San Francisco Board of Supervisors.,"18""H X 36""W","37.7876664,-122.4034248",Public Display,District 3,Market and Kearny,,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",Luisa Tetrazzini (1874-1940) Plaque
33,1911,Commissioned for the Weill Monument,"22"" in diameter","37.7836073,-122.5019123",Public Display,District 1,Lincoln Park,,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",Raphael Weill (1837-1920) Plaque
34,1914,Exhibited at the Panama Pacific International Exposition in 1915.,,"37.771224,-122.4738817",Public Display,District 1,Golden Gate Park,"JFK, at Stowe Lake Drive",San Francisco Arts Commission,bronze,bronze,"Grafly, Charles",Pioneer Mother
35,1914,Gift of the Italian Colony and by special performances of Verdi operas at the Trivoli.,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Grossoni, Orazio",Giuseppe Verdi
36,1916,Gift of E.J. Molora and C.J. Cobrian to the City of San Francisco.,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Mora, Joseph Jacinto",Miguel Cervantes (1547-1616)
37,1916,Commissioned by the Downtown Association,,"37.7741056,-122.4204734",Public Display,District 6,Market Street,,San Francisco Arts Commission,iron,cast iron bas reliefs,"Putnam, Arthur",The Winning of the West
38,1917,Gift of Maria Becker,3' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,"bronze, stone, landscaping","bronze, stone and landscaping","Cummings, M. Earl",Pool of Enchantment
39,1917,Dedicated to the City and County of San Francisco at the California Palace of Fine Arts.,"78"" H X 42"" W X 33"" D","37.7774299,-122.491083",Public Display,District 1,Washington High School,,San Francisco Arts Commission,bronze,bronze,"Houdon, Jean Antoine",George Washington
40,1917,Presented to the city of San Francisco by the school children.,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,east lobby,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",Frederick Funston (1865-1917)
41,1919,Gift of James D. Phelan,7' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Connor, Gerome",Robert Emmet (1778-1803)
