id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
163,1954,"Quilici, Gladys Nevada",01/01/1970 12:32:29 AM +0000,?,"24"" H","-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Columbus Avenue at Union and Powell,Bronze,bronze,San Francisco Arts Commission,Frank Marini (1862-1952)
164,1954,Anonymous,01/01/1970 12:31:40 AM +0000,Gift of Mrs. William H. Crocker,,"-122.4122163,37.792033","37.792033,-122.4122163",Public Display : District 3 : Huntington Park,Marble and bronze,marble and bronze,San Francisco Arts Commission,Fountain of the Tortoises
165,1955,"Erckenbrack, Mary E.",01/01/1970 12:32:35 AM +0000,,,"-122.4348103,37.7842191","37.7842191,-122.4348103",Public Display : District 5 : Hamilton Rec. Center,Carved and glazed ceramic,carved and glazed ceramic,San Francisco Arts Commission,Ceramic Mural on Athletics
166,1956,"Bufano, Beniamino",01/01/1970 12:32:19 AM +0000,,456 in. x 30 in.,"-122.4802906,37.7146289","37.7146289,-122.4802906",Public Display : District 7 : 800 Brotherhood Way,Granite,granite,San Francisco Arts Commission,Peace
167,1957,"Di Colbertaldo, Vittorio",01/01/1970 12:32:37 AM +0000,Gift to the City of San Francisco by the Italian community of San Francisco.,12' tall marble surround 24 ',"-122.40587,37.802409","37.802409,-122.40587",Public Display : District 3 : Telegraph Hill,Bronze,bronze,San Francisco Arts Commission,Christopher Columbus
168,1958,"Huntington, Clara",01/01/1970 12:32:19 AM +0000,Gift of the Artist to the City of San Francisco in 1958.,"78"" H X 35"" W","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : GGP: Arboretum, Fragrance Garden",Bronze,bronze,San Francisco Arts Commission,St. Francis of Assisi (Feeding the Birds)
169,1960,Anonymous,01/01/1970 12:32:40 AM +0000,"Gift of San Francisco's Sister City, Osaka Japan","88 X 60 X 34 ""","-122.4525624,37.7069424","37.7069424,-122.4525624","Public Display : District 1 : Lincoln Park, NW side",granite with bronze plaque,granite with bronze plaque,San Francisco Arts Commission,Kanrin Maru Monument
170,1966,"Moore, Henry",?,Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Golden Gateway Plaza,Bronze,bronze,San Francisco Arts Commission,Standing Figure Knife Edged- Winged Figure
171,1966,"Marini, Marino",ca. 1966,Purchased through a project of the Redevelopment Agency for the Golden Gateway Plaza,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Golden Gateway Plaza,Bronze,bronze,San Francisco Arts Commission,Bronze Horse
172,1966,"Perry, Charles O.",?,Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Golden Gateway Plaza,Bronze,bronze,San Francisco Arts Commission,Bronze Icosahedron
173,1966,"Stern, Jan Peter",?,Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"-122.3991803,37.7953907","37.7953907,-122.3991803",Public Display : District 3 : Maritime Plaza,Aluminum,aluminum,San Francisco Arts Commission,Limits of Horizon II
174,1966,"Olaguibel, Juan",01/01/1970 12:32:42 AM +0000,Gift of the Mexican Colony to the City of San Francisco,"sculpture: 12' X 4' X 3' base: 7' '9 1/2"" X 9' 6"" X 9' 6""","-122.4282213,37.7596965","37.7596965,-122.4282213",Public Display : District 8 : Dolores Park : Church St. at 19th St.,bronze sculpture on black granite veneer base,bronze sculpture on black granite veneer base,San Francisco Arts Commission,Miguel Hidalgo Y Costilla
175,1967,"Martinez, Julian",01/01/1970 12:32:47 AM +0000,"Gift to San Francisco from Luis Encina, the Governor of the State of Sonora, Mexico 1967.",88 in. x 142 in. x 70 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 7 : Sunset Circle parking Lot, Sunset and Lake Merced",Bronze,bronze,San Francisco Arts Commission,Juan Bautista de Anza
176,1967,"Voulkos, Peter",1969-1971,Commissioned for the Hall of Justice,360 in. x 480 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : Hall of Justice : 850 Bryant at 7th St. : West Corner Lawn,Bronze,bronze,San Francisco Arts Commission,Untitled
177,1967,"Gordin, Sidney",01/01/1970 12:32:49 AM +0000,Commissioned by the San Francisco Arts Commission for the Hall of Justice. Collection of the city and county of San Francisco.,"8' 3 1/4"" H","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 6 : Davies Hall, upper terrace",Bronze,bronze,San Francisco Arts Commission,Untitled
178,1967,"Arnold, David",1967-1969,Commissioned for the Bayview Health Center,12' H X 8' W,"-122.4059739,37.7323428","37.7323428,-122.4059739",City Department : DPH : Health Center #3 : 1525 Silver Avenue,Stained glass windows,stained glass windows,San Francisco Arts Commission,Untitled
179,1968,Vaea,01/01/1970 12:32:48 AM +0000,Purchased by the San Francisco Art Commission for Health Center #3,"30"" H X 60"" W","-122.4059739,37.7323428","37.7323428,-122.4059739",City Department : Health Center #3,Cement,cement,San Francisco Arts Commission,Untitled
180,1968,Vaea,01/01/1970 12:32:48 AM +0000,Purchased by the San Francisco Art Commission for Health Center #3,"34"" H X 74"" W","-122.4059739,37.7323428","37.7323428,-122.4059739",City Department : Health Center #3,Cement,cement,San Francisco Arts Commission,Untitled
181,1968,"Overhoff, Jacques",01/01/1970 12:32:49 AM +0000,Purchased by the San Francisco Art Commission for the Anna E. Waden Branch Library.,14' X 24',"-122.3896884,37.7321019","37.7321019,-122.3896884",City Department : SFPL : Bayview Branch : Exterior,Bas-relief--clay,bas-relief--clay,San Francisco Arts Commission,Untitled
182,1968,"Stellon, Anthony",01/01/1970 12:32:48 AM +0000,Gift to the City from Mayor Alioto,"95 "" X 264 "" main mural 160"" Wide; side panels 52"" Wide each","-122.4194155,37.7749295","37.7749295,-122.4194155",Franklin Square : Storage Yard,Tessere tile mosaic,tessere tile mosaic,San Francisco Arts Commission,The Brotherhood of Man
183,1969,"Bufano, Beniamino",01/01/1970 12:32:49 AM +0000,Gift to the City and County of San Francisco,100 in. x 69 in.,"-122.451725,37.7277894","37.7277894,-122.451725",Public Display : District 8 : CCSF : Ocean Campus : Stairs to Science Building,steel,steel,San Francisco Arts Commission,St. Francis of the Guns
184,1969,Anonymous,,Gift to the People of San Francisco from the Japan Federation of Economic Organizations,,"-122.4701557,37.7701722","37.7701722,-122.4701557","Public Display : District 1 : GGP, Japanese Tea Garden",Stone,stone,San Francisco Arts Commission,Untitled (Stone Lantern)
185,1969,"Marie-Rose, Henri",1969-1970,Purchased by the San Francisco Art Commission for the Central Police Station and North Beach Garage,144 in.,"-122.482221,37.7595959","37.7595959,-122.482221",City Department : DPW : Health Center : Irving and 24th Ave.,Copper and Bronze,copper and bronze,San Francisco Arts Commission,Sailor and Mermaid
186,1970,"Bowler, Patti",ca. 1970,Purchased by the San Francisco Art Commission for Health Center #4,114 in. x 672 in. x 30 in.,"-122.4154927,37.7967083","37.7967083,-122.4154927",Public Display : District 3 : East End of Broadway Tunnel,Sheet bronze and sheet brass,sheet bronze and sheet brass,San Francisco Arts Commission,Dragon Relief
187,1970,"DeStaebler, Stephen",01/01/1970 12:32:50 AM +0000,Commissioned by the San Francisco Art Commission for San Francisco City College,8 square feet,"-122.451725,37.7277894","37.7277894,-122.451725","Public Display : District 11 : CCSF, Student Union",Fired clay/oxides,fired clay/oxides,San Francisco Arts Commission,Fireplace and Hood
188,1971,"Selinger, Paul",01/01/1970 12:32:51 AM +0000,Purchased with funds donated by Levi Strauss & Co for the Bush Street Sculpture Playground.,,"-122.4425216,37.7856501","37.7856501,-122.4425216",Public Display : District 2 : Broderick and Bush Mini Park,,,San Francisco Arts Commission,Untitled
189,1971,VanDenberge,ca. 1971,Purchased by the San Francisco Art Commission for Christopher Park.,,"-122.4404504,37.7436619","37.7436619,-122.4404504",Public Display : District 8 : Christopher Park : 5210 Diamond Heights Blvd.,ceramic tile,ceramic tile,San Francisco Arts Commission,Untitled
190,1971,"Vaillancourt, Armand",01/01/1970 12:32:51 AM +0000,Commissioned for the Embarcadero Plaza by the Redevelopment Agency and the San Francisco Art Commission,30' H,"-122.3945938,37.7948985","37.7948985,-122.3945938",Public Display : District 3 : Embarcadero : Justin Herman Plaza,pre-cast aggregate concrete hollow-core boxes,pre-cast aggregate concrete hollow-core boxes,San Francisco Arts Commission,The Embarcadero Fountain
191,1972,"Kelly, Lee",01/01/1970 12:32:52 AM +0000,Commission by the San Francisco Art Commission for Candlestick Park,17' H X 76' L ; 8 1/2' H at gate openings,"-122.3851332,37.7129103","37.7129103,-122.3851332",Public Display : District 10 : Candlestick Stadium,Cor-ten Steel,cor-ten steel,San Francisco Arts Commission,Gate F Sculpture
192,1973,"Demetrios, Aristides",01/01/1970 12:32:53 AM +0000,Purchased by the San Francisco Art Commission for San Francisco City College,114 in. x 60 in. x 48 in.,"-122.451725,37.7277894","37.7277894,-122.451725",Public Display : District 11 : CCSF : Phelan Campus : Administration Building,Cast bronze,cast bronze,San Francisco Arts Commission,Sentinels
193,1973,"VanDenberge, Peter",01/01/1970 12:32:52 AM +0000,Purchased by the San Francisco Art Commission for San Francisco City College.,5' H X 8' W,"-122.451725,37.7277894","37.7277894,-122.451725",Public Display : District 11 : CCSF : Phelan Campus : Library,Ceramic relief tile,ceramic relief tile,San Francisco Arts Commission,Jungle Scenes
194,1973,"Quagliata, Narcissus",1973?,Bayview Health Center,,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Bayview Health Center,Stained glass,stained glass,San Francisco Arts Commission,Untitled
195,1973,"VanDenberge, Peter",01/01/1970 12:32:53 AM +0000,Purchased by the San Francisco Art Commission for the Hall of Flowers at Golden Gate Park.,,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : GGP, Hall of Flowers",Glazed ceramic tile,glazed ceramic tile,San Francisco Arts Commission,Garden of Alice
196,1973,"Moya Del Pino, Jose",01/01/1970 12:32:15 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 5 : African American Art and Culture Complex : Fulton,fresco secco,fresco secco,San Francisco Arts Commission,Murals for Acme Beer Company
197,1973,"Cravath, Ruth Wakefield",01/01/1970 12:32:53 AM +0000,,,"-122.3876578,37.7138806","37.7138806,-122.3876578","Public Display : District 10 : Candlestick Stadium gates, Jamestown Ave.",Concrete,concrete,San Francisco Arts Commission,Saint Francis
198,1974,"Puccinelli, Raimondo(Raymond)",01/01/1970 12:32:54 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,,"-122.4044431,37.7557795","37.7557795,-122.4044431","City Department : SFGH, Cafeteria patio",Grey stone (porterville diorite),grey stone (porterville diorite),San Francisco Arts Commission,American Bison--Buffalo
199,1974,"Bufano, Beniamino",,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,,"-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH,"Stone, tile and concrete","stone, tile and concrete",San Francisco Arts Commission,Madonna
200,1974,"Asawa, Ruth",01/01/1970 12:32:54 AM +0000,Purchased for the Japanese Tea Garden,"15"" H X 28"" W","-122.4701557,37.7701722","37.7701722,-122.4701557","Public Display : District 1 : GGP, Japanese Tea Garden",Bronze,bronze,San Francisco Arts Commission,Hagiwara Family Plaque
201,1975,"Halprin, Lawrence",ca. 1975,Purchased by the San Francisco Art Commission for the United Nations Plaza,,"-122.4136322,37.779985","37.779985,-122.4136322",Public Display : District 1 : UN Plaza,Granite,granite,San Francisco Arts Commission,United Nations Plaza Fountain
202,1975,"Fuller, Mary",01/01/1970 12:32:54 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,72 in. x 72 in.,"-122.4044431,37.7557795","37.7557795,-122.4044431","City Department : SFGH, Courtyard #3",Cast stone aggregate,cast stone aggregate,San Francisco Arts Commission,Dos Liones
203,1976,"Coullaut-Valera, Frederico",01/01/1970 12:32:56 AM +0000,Gift from the government of Spain to the San Francisco Art Commission,"91/2' H X 38"" W X 44"" D","-122.4835175,37.6986166","37.6986166,-122.4835175","Public Display : District 7 : Sunset Parking Lot, Sunset and Lake Merced",Bronze,bronze,San Francisco Arts Commission,Statue of King Carlos III
204,1976,"Reed, Michael John",01/01/1970 12:32:56 AM +0000,,"28"" H X 28"" W X 16"" D","-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall,Bronze,bronze,San Francisco Arts Commission,Mayor George Christopher
205,1976,"Marie-Rose, Henri",01/01/1970 12:32:56 AM +0000,Purchased by the San Francisco Art Commission for Firehouse #13,4' X 5',"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Firehouse #13,Copper,copper,San Francisco Arts Commission,Untitled
206,1976,"Overhoff, Jacques",01/01/1970 12:32:56 AM +0000,Commissioned by the San Francisco Art Commission for the Department of Social Services,,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Dept. Social Services : 170 Otis. St. : Building Facade,Bronze,bronze,San Francisco Arts Commission,Untitled
207,1977,"Adams, Gloria Cozzo",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,481/2,"-122.389979,37.615223","37.615223,-122.389979",Airport : Business and Finance,Acrylic and ink on canvas,acrylic and ink on canvas,San Francisco Arts Commission,Cityscape #33
208,1977,"Crumpler, Dewey",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"48"" H X 74 1/2"" W Framed","-122.389979,37.615223","37.615223,-122.389979",Airport : T1 Food Court,Gouache on paper,gouache on paper,San Francisco Arts Commission,Untitled
209,1977,"Dixon, Willard",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"56"" H X 96"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : South Arrival Lounge,Oil on canvas,oil on canvas,San Francisco Arts Commission,Death Valley II
210,1977,"Martin, Vance",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : North Arrivals Lounge,Enamel spray paint,enamel spray paint,San Francisco Arts Commission,Untitled
211,1977,"Torlakson, James",01/01/1970 12:32:56 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"42 3/4"" H X 68"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : T3,Oil on canvas,oil on canvas,San Francisco Arts Commission,Behind Ted McCann's Garage
212,1977,"Tchakalian, Sam",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"48"" H X 96"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,Oil on canvas,oil on canvas,San Francisco Arts Commission,Hitwood
213,1977,"Concha, Jerry",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,"300"" X 120""","-122.4044431,37.7557795","37.7557795,-122.4044431","City Department : SFGH, rooftop",Mosaic-tile mural.,mosaic-tile mural.,San Francisco Arts Commission,Roof Mural
214,1977,"Loarca, Carlos",01/01/1970 12:32:54 AM +0000,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,96 in. x 120 in.,"-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : 3rd floor courtyard,Mosaic-tile mural,mosaic-tile mural,San Francisco Arts Commission,Connecting Mural Bands
215,1977,"Villamor, Manuel",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital,96 in. x 240 in.,"-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : 3rd Floor Courtyard : Mechanical Building,Mosaic mural,mosaic mural,San Francisco Arts Commission,Untitled
216,1977,"Cravath, Ruth Wakefield",01/01/1970 12:32:57 AM +0000,,,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall,,,San Francisco Arts Commission,Mayor Alioto
217,1977,"Barnes, Carroll",ca. 1977,Purchased by the San Francisco Art Commission for the Muni Railway,9' H X 8' W X 19 'L ; 19' H X 3' diameter,"-122.44485,37.7229198","37.7229198,-122.44485",City Department : MTA : Curtis E. Green Metro Center : San Jose and Ocean Aves.,corten steel,corten steel,San Francisco Arts Commission,Transverse and Column
218,1977,"Overhoff, Jacques",01/01/1970 12:32:57 AM +0000,Commissioned by the San Francisco Art Commission for City College,,"-122.4508478,37.72568589999999","37.7256859,-122.4508478","Public Display : District 11 : CCSF, Phelan Campus",Cement,cement,San Francisco Arts Commission,Sculpture Garden
219,1977,"Newman, Ruby",01/01/1970 12:32:57 AM +0000,Commissioned for SFGH by the city,"51""H X 126"" W","-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH,Acrylic on wood panel,acrylic on wood panel,San Francisco Arts Commission,Children's Mural
220,1978,"Walburg, Gerald",01/01/1970 12:32:54 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,"120"" H X 300"" W X 96""D","-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : Main Quad,Corten steel,corten steel,San Francisco Arts Commission,Stiff Loops (Loop IV)
221,1978,"Novak, Stephen",1978?,Purchased for the John C. Woods Motor Coach Center,,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 10 : 22nd St., between Indiana and Minnesota",Wood,wood,San Francisco Arts Commission,Untitled
222,1978,"Hamlin, Edith",01/01/1970 12:32:40 AM +0000,Gift of the artist to the San Francisco Art Commission.,,"-122.389979,37.615223","37.615223,-122.389979",Storage : Airport,"Acrylic, tempera and gold leaf","acrylic, tempera and gold leaf",San Francisco Arts Commission,Map for the Pacific and Orient Steamship Lines
223,1979,"Smith, Hassel",01/01/1970 12:32:41 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,Oil,oil,San Francisco Arts Commission,Metamorphosis
224,1979,"Mullican, Lee",01/01/1970 12:32:53 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"75"" H X 75"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,Acrylic on canvas,acrylic on canvas,San Francisco Arts Commission,The Great Transparents
225,1979,"Brown, Joan",01/01/1970 12:32:56 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"90""H X 72"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Gate 51A,Enamel on canvas,enamel on canvas,San Francisco Arts Commission,The Journey #2
226,1979,"DeForest, Roy",01/01/1970 12:32:58 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"67"" H X 85"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Gate 51A,Varnished polymer on canvas,varnished polymer on canvas,San Francisco Arts Commission,Homage to Zane Grey
227,1979,"Dill, Laddie John",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,60 in. x 84 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Gate 59,"Cement, polymer and glass","cement, polymer and glass",San Francisco Arts Commission,Untitled
228,1979,"Hedrick, Wally",01/01/1970 12:32:58 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"48"" X 87 ""","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : North Arrivals Lounge,Oil on canvas,oil on canvas,San Francisco Arts Commission,"17th December, 1903"
229,1979,"Renfrow, Gregg",01/01/1970 12:32:56 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"96"" H X 138"" W","-122.389979,37.615223","37.615223,-122.389979",Storage : Airport,"Acrylic polymer, pigment and fibermesh","acrylic polymer, pigment and fibermesh",San Francisco Arts Commission,Untitled
230,1979,"Rivera, Gustavo",01/01/1970 12:32:58 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"66"" H X 75"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Boarding Area E : Gate 61,Acrylic on canvas,acrylic on canvas,San Francisco Arts Commission,"Azul, Azul Y Hacer"
231,1979,"Thiebaud, Wayne",01/01/1970 12:32:58 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"60"" H X 48"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 3,Oil on canvas,oil on canvas,San Francisco Arts Commission,18th Street Downgrade
232,1979,"Beasley, Bruce",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,18' 6,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 3,Aluminum,aluminum,San Francisco Arts Commission,The Hesperides
233,1979,"Wiley, William",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,,"-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Gates 89-90,"Acrylic, pencil and paper","acrylic, pencil and paper",San Francisco Arts Commission,Void
234,1979,"Elliott, Lillian",01/01/1970 12:32:57 AM +0000,,40 in. x 150 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Dept. Social Services : 170 Otis St. : Elevator Lobby,Fiber tapestry,fiber tapestry,San Francisco Arts Commission,Untitled
235,1979,"Davis, Ron",01/01/1970 12:32:59 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,34 in. x 43 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 1 : Foodcourt,Seriagraph on Paper,seriagraph on paper,San Francisco Arts Commission,Wide Wave
236,1979,"Davis, Ron",01/01/1970 12:32:59 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,34 in. x 43 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 1 : Foodcourt,Seriagraph on Paper,seriagraph on paper,San Francisco Arts Commission,Twin Wave
237,1979,"Dixon, Willard",01/01/1970 12:32:59 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"56""H X 96"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : South Arrival Lounge,Oil on canvas,oil on canvas,San Francisco Arts Commission,Above Bolinas
238,1979,"Beauchemin, Micheline",01/01/1970 12:32:52 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"240"" H X 180"" W","-122.389979,37.615223","37.615223,-122.389979",Storage : Airport,Hooked wool tapestry,hooked wool tapestry,San Francisco Arts Commission,
239,1979,"Bechtle, Robert",01/01/1970 12:32:59 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"46"" H X 69"" W Framed","-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 3,Oil on canvas,oil on canvas,San Francisco Arts Commission,San Francisco Nova
240,1979,"Diebenkorn, Richard",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223","37.615223,-122.389979",City Department : San Francisco International Airport : John Martin's Office,Drypoint and etching,drypoint and etching,San Francisco Arts Commission,Untitled
241,1979,"Diebenkorn, Richard",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223","37.615223,-122.389979",City Department : San Francisco International Airport : John Martin's Office,Drypoint and etching,drypoint and etching,San Francisco Arts Commission,Untitled
242,1979,"Diebenkorn, Richard",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223","37.615223,-122.389979",City Department : San Francisco International Airport : John Martin's Office,Drypoint and etching,drypoint and etching,San Francisco Arts Commission,Untitled
243,1979,"Diebenkorn, Richard",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223","37.615223,-122.389979",City Department : San Francisco International Airport  : John Martin's Office,Drypoint and etching,drypoint and etching,San Francisco Arts Commission,Untitled
244,1979,"Loarca, Carlos",01/01/1970 12:32:58 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,72,"-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Boarding Area E,Acrylic on board,acrylic on board,San Francisco Arts Commission,Angulos en Todas Direciones
245,1979,"Loarca, Carlos",01/01/1970 12:32:58 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"72""H X 48"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Boarding Area E,Acrylic on board,acrylic on board,San Francisco Arts Commission,Angulos en Todas Direciones
246,1979,"Villamor, Manuel",01/01/1970 12:32:54 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"40"" H X 30"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Boarding Area E,Acrylic on canvas,acrylic on canvas,San Francisco Arts Commission,Untitled
247,1980,"Francis, Sam",01/01/1970 12:33:00 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"276"" X 348""","-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Gates 82-83,Acrylic on canvas,acrylic on canvas,San Francisco Arts Commission,Untitled
248,1980,"Lane, Christopher",01/01/1970 12:32:57 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"71"" H X 79"" W","-122.389979,37.615223","37.615223,-122.389979",Airport : T3 : Mezzanine,Oil,oil,San Francisco Arts Commission,Night Passage
249,1980,"Defeo, Jay",1974-1975,Purchased by the San Francisco Art Commission for the San Francisco International Airport,96,"-122.467485,37.771673","37.771673,-122.467485",Museum : deYoung,"Mixed media on masonite; oil, plaster, tape, hardboard.","mixed media on masonite; oil, plaster, tape, hardboard.",San Francisco Arts Commission,Loop Series 4: Masquerade in Black
250,1980,"Noguchi, Isamu",01/01/1970 12:32:25 AM +0000,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"61"" H X 21 1/2"" W X 15 1/4"" D","-122.389979,37.615223","37.615223,-122.389979",Airport : T1 : Boarding Area C : Gate 45,Cast bronze with black patina,cast bronze with black patina,San Francisco Arts Commission,Figure
251,1980,"Moore, Henry",01/01/1970 12:32:53 AM +0000,Gift of Earl and Helli Rouda to the San Francisco Art Commission.,"6 1/2"" H X 4' W X 13 1/2"" D","-122.4222548,37.790378","37.790378,-122.4222548","Public Display : District 6 : Civic Center, Grove and Van Ness",Bronze,bronze,San Francisco Arts Commission,Large Four Piece Reclining Figure
252,1981,"Neri, Manuel",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Center,"8 1/2"" H X 18"" W X 6""D","-122.433021,37.801262","37.801262,-122.433021",Public Display : District 6 : Moscone Center,Marble and ink,marble and ink,San Francisco Arts Commission,Untitled Proposal
253,1981,"Wonner, Paul",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Center,,"-122.433021,37.801262","37.801262,-122.433021",Public Display : District 6 : Moscone Center,Acrylic,acrylic,San Francisco Arts Commission,Souvenir of San Francisco
254,1981,"Rivera, Gustavo",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Convention Center,"60"" H X 120"" W","-122.433021,37.801262","37.801262,-122.433021",Public Display : District 6 : Moscone Center : South,"Acrylic, charcoal, cardboard on linen mounted on board","acrylic, charcoal, cardboard on linen mounted on board",San Francisco Arts Commission,Untitled
255,1981,"Holland, Tom",01/01/1970 12:33:01 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Convention Center,"7 1/2' H X 18' W X 13"" D","-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 6 : Moscone Center : Mezzanine Level,Epoxy paint on aluminum and fiberglass,epoxy paint on aluminum and fiberglass,San Francisco Arts Commission,Morengo
